Origin,Destination,Aircraft_Type,Distance_km,Passengers,Cargo_Load_pct,Weather_Severity,Wind_kts,Cruise_Temperature_C,Flight_Duration_hr,Fuel_Burn_L,Efficiency_Rating
LHR,JFK,Boeing 787-9,5540.0,192,63.5,Mild,-3.0,-55.5,6.14,15875.9,9.65
ORD,JFK,Boeing 737 MAX 8,1188.1,115,61.3,Moderate,-27.6,-52.5,1.42,4575.9,8.94
LHR,CDG,Boeing 737-900ER,347.0,121,35.6,Mild,-9.6,-51.0,0.41,2413.3,8.01
FRA,MAD,Airbus A321ceo,1419.9,155,48.7,Severe,52.0,-48.0,1.71,7417.5,8.93
CDG,LHR,Boeing 777-200ER,347.0,187,79.5,Mild,8.3,-56.3,0.39,3134.8,8.37
HND,SIN,Airbus A350-900,5298.5,220,21.3,Mild,-5.8,-47.5,5.87,15014.8,9.73
BCN,MAD,Airbus A321neo,483.1,140,78.7,Mild,-4.5,-42.0,0.58,2943.2,8.55
SFO,ATL,Boeing 737 MAX 8,3434.9,115,39.1,Moderate,27.9,-46.9,4.09,12993.3,8.96
DXB,CDG,Airbus A330-900,5238.8,244,35.5,Mild,3.1,-59.6,5.93,15507.9,9.76
CDG,LAX,Airbus A350-1000,9102.7,337,30.5,Severe,-37.6,-56.8,10.08,24827.1,9.92
JFK,DFW,Airbus A321neo,2235.0,176,6.9,Mild,-5.8,-55.4,2.68,7129.0,9.53
SYD,SIN,Boeing 787-8,6293.2,157,69.0,Mild,6.1,-44.2,6.97,18881.5,9.49
LHR,JFK,Boeing 737 MAX 9,5540.0,168,10.5,Moderate,33.4,-41.5,6.6,20949.3,9.36
CDG,ORD,Airbus A350-900,6664.7,200,67.3,Severe,-49.4,-42.9,7.38,18767.2,9.69
ATL,DFW,Airbus A330-200,1174.7,165,20.0,Moderate,22.6,-52.1,1.35,5383.6,9.16
FRA,DXB,Boeing 777-300ER,4844.0,331,51.2,Mild,3.1,-54.6,5.35,14797.5,9.87
MAD,AMS,Boeing 777-300ER,1458.4,268,49.8,Severe,-40.4,-42.4,1.61,5758.5,9.66
SFO,FRA,Airbus A380-800,9147.9,383,16.6,Mild,0.5,-40.6,10.13,25145.6,9.95
JNB,CDG,Boeing 777-300ER,8736.6,226,66.7,Moderate,24.4,-45.3,9.65,30425.9,9.64
JFK,HND,Airbus A350-1000,10875.4,232,37.1,Severe,47.2,-54.0,12.04,44525.8,9.55
ATL,JFK,Boeing 777-200ER,1221.9,240,66.5,Mild,10.1,-58.9,1.37,5596.6,9.49
SEA,ORD,Boeing 737 MAX 9,2761.8,156,69.6,Severe,53.7,-57.6,3.29,13085.3,9.06
DFW,YYZ,Airbus A350-1000,1928.8,282,21.1,Moderate,-17.7,-46.8,2.14,6711.9,9.75
DXB,MAD,Airbus A330-900,5649.3,236,26.4,Mild,-6.5,-50.4,6.4,15961.8,9.77
AMS,BCN,Boeing 787-9,1241.3,206,31.8,Moderate,-20.9,-42.0,1.37,4914.1,9.49
MAD,FRA,Airbus A330-200,1419.9,167,13.6,Moderate,-17.2,-51.1,1.63,5155.9,9.39
CDG,AMS,Airbus A350-900,399.0,270,59.4,Moderate,28.9,-45.1,0.44,3511.3,8.97
FRA,DXB,Airbus A380-800,4844.0,441,61.9,Moderate,-33.7,-56.0,5.36,15040.0,9.96
MAD,ORD,Boeing 767-300ER,6744.3,175,25.2,Severe,-52.1,-52.6,7.93,18557.0,9.62
DFW,ATL,Airbus A220-300,1174.7,95,28.9,Mild,9.7,-45.3,1.42,4717.1,8.6
JNB,LHR,Airbus A330-200,9074.1,208,49.2,Mild,12.5,-52.4,10.42,28045.1,9.66
FRA,ORD,Airbus A330-300,6970.8,214,12.0,Moderate,-21.7,-40.8,8.0,19109.5,9.74
DXB,JNB,Airbus A330-900,6412.9,270,52.5,Mild,-5.5,-53.6,7.26,18143.7,9.83
DFW,LAX,Airbus A220-300,1983.0,85,30.8,Moderate,-16.2,-54.7,2.39,6382.4,8.77
DFW,HND,Boeing 777-300ER,10377.6,254,55.9,Moderate,-15.1,-40.4,11.47,28084.6,9.82
SEA,LAX,Boeing 787-10,1537.1,260,62.9,Moderate,-30.5,-45.1,1.7,6009.3,9.65
JFK,SFO,Airbus A330-900,4152.1,205,46.6,Severe,52.7,-59.3,4.7,18892.2,9.37
ATL,JFK,Embraer ERJ-145,1221.9,36,69.0,Mild,-3.7,-44.8,1.47,4381.7,6.38
HND,ORD,Airbus A380-800,10124.5,413,38.9,Severe,46.0,-52.2,11.21,41818.5,9.85
HND,DXB,Airbus A350-1000,7934.6,247,10.5,Mild,-1.5,-45.5,8.79,21571.7,9.81
AMS,CDG,Boeing 737-700,399.0,98,74.6,Moderate,-24.4,-43.6,0.48,2575.3,7.69
ORD,AMS,Airbus A350-900,6612.5,207,13.9,Severe,40.3,-44.4,7.32,26215.9,9.49
ATL,BCN,Airbus A380-800,7360.2,358,22.2,Mild,13.9,-50.2,8.15,23650.9,9.88
FRA,GRU,Airbus A330-200,9798.1,220,60.6,Severe,-50.5,-49.7,11.25,26560.4,9.76
HND,ATL,Boeing 777-300ER,11053.6,260,41.1,Moderate,17.8,-56.8,12.21,35553.7,9.75
JNB,DXB,Boeing 777-200ER,6412.9,249,58.2,Mild,4.6,-45.0,7.19,19029.9,9.77
AMS,FRA,Airbus A330-200,365.7,176,31.4,Moderate,-17.7,-49.5,0.42,2674.4,8.63
ATL,JFK,Airbus A320neo,1221.9,97,74.5,Severe,-48.9,-44.1,1.47,4657.4,8.71
JFK,ORD,Bombardier CRJ-900,1188.1,56,79.3,Mild,-12.3,-59.7,1.43,4370.8,7.69
SEA,CDG,Airbus A350-900,8049.2,284,9.6,Severe,47.9,-49.1,8.91,33487.0,9.67
BCN,MAD,Airbus A330-300,483.1,246,25.0,Moderate,-19.6,-40.7,0.55,3053.5,9.24
ATL,LHR,Airbus A350-1000,6760.9,271,46.3,Moderate,-22.4,-43.0,7.49,18990.1,9.83
SEA,JFK,Airbus A220-300,3886.6,114,27.6,Moderate,-23.9,-59.6,4.69,11186.3,9.26
JFK,SFO,Boeing 787-10,4152.1,246,51.4,Severe,53.6,-52.3,4.6,19101.8,9.51
YYZ,JFK,Boeing 767-300ER,588.2,155,45.5,Severe,-51.0,-45.9,0.69,3277.4,8.84
GRU,LHR,Airbus A380-800,9460.5,433,41.7,Moderate,17.3,-52.6,10.48,31174.8,9.94
AMS,LAX,Boeing 777-200ER,8956.1,187,14.9,Mild,9.1,-42.5,10.04,26486.1,9.62
MAD,SIN,Airbus A350-1000,11380.8,253,24.1,Severe,-51.1,-51.1,12.6,30315.3,9.82
FRA,LHR,Airbus A321neo,653.5,146,54.7,Severe,40.7,-56.4,0.78,4091.3,8.58
HND,MAD,Boeing 777-200ER,10766.1,188,18.7,Moderate,17.6,-51.5,12.07,34282.5,9.58
BCN,MAD,Boeing 767-300ER,483.1,183,71.2,Mild,-9.3,-57.3,0.57,3250.0,8.81
AMS,JFK,Airbus A330-900,5847.6,236,56.2,Mild,-10.7,-53.2,6.62,16699.3,9.76
GRU,SFO,Boeing 787-9,10427.2,208,31.1,Mild,-6.8,-49.7,11.55,27877.4,9.73
ATL,BCN,Boeing 767-300ER,7360.2,141,23.5,Mild,-11.5,-48.2,8.65,20023.5,9.49
GRU,ATL,Boeing 777-300ER,7510.6,317,41.3,Severe,41.3,-42.7,8.3,30217.0,9.74
ATL,CDG,Boeing 787-10,7055.4,296,11.4,Mild,3.6,-52.7,7.81,20222.3,9.86
SYD,SFO,Airbus A350-1000,11942.3,255,29.1,Severe,-43.0,-49.5,13.23,31766.2,9.83
BCN,SEA,Boeing 787-10,8729.8,252,56.1,Mild,3.6,-48.4,9.67,24853.3,9.8
YYZ,SFO,Airbus A320neo,3628.0,101,14.9,Severe,-43.6,-43.4,4.36,10497.2,9.13
BCN,GRU,Airbus A330-200,8765.2,211,74.7,Mild,-0.4,-57.8,10.06,24071.1,9.73
JNB,SYD,Airbus A350-900,11032.4,256,79.2,Moderate,-24.9,-43.6,12.22,29882.9,9.82
LAX,FRA,Airbus A330-900,9321.3,207,73.0,Mild,-13.3,-53.5,10.56,25467.3,9.72
HND,LHR,Boeing 787-10,9591.6,239,55.9,Mild,7.0,-53.4,10.62,28063.9,9.76
SIN,FRA,Boeing 777-300ER,10278.4,297,8.7,Mild,12.1,-55.4,11.36,31228.0,9.84
ORD,LAX,Boeing 787-9,2801.9,195,36.7,Severe,-37.5,-47.9,3.1,8833.2,9.61
DXB,AMS,Airbus A319ceo,5168.5,81,42.5,Severe,37.9,-44.1,6.24,20258.0,8.36
JFK,CDG,Boeing 787-9,5833.5,206,28.9,Moderate,-32.0,-48.5,6.46,16373.3,9.71
DFW,GRU,Airbus A330-900,8244.0,237,77.3,Moderate,-30.3,-45.8,9.34,22863.0,9.78
BCN,MAD,Airbus A330-900,483.1,203,47.7,Severe,-48.7,-50.5,0.55,3159.7,8.99
AMS,DXB,Airbus A321neo,5168.5,174,45.9,Severe,37.1,-54.8,6.2,20350.4,9.36
BCN,MAD,Boeing 777-300ER,483.1,329,21.0,Severe,45.9,-49.0,0.53,3846.8,9.3
CDG,BCN,Airbus A321neo,858.3,154,30.2,Severe,-38.4,-55.3,1.03,3731.8,9.14
GRU,ORD,Airbus A350-1000,8428.0,288,50.9,Severe,-45.2,-53.5,9.33,23227.9,9.86
ATL,DFW,Boeing 737-900ER,1174.7,162,16.0,Moderate,28.5,-55.3,1.4,5491.7,9.12
SFO,SYD,Boeing 787-9,11942.3,252,33.2,Severe,-48.5,-48.0,13.23,31760.4,9.82
FRA,MAD,Boeing 757-200,1419.9,140,41.1,Mild,0.7,-57.6,1.67,5253.9,9.21
ATL,SFO,Airbus A350-1000,3434.9,320,66.5,Severe,-38.4,-60.0,3.8,10938.3,9.85
JFK,ORD,Boeing 757-200,1188.1,132,23.9,Severe,-43.6,-44.3,1.4,4536.5,9.11
SFO,DFW,Bombardier CRJ-900,2352.0,67,19.7,Mild,-14.4,-46.6,2.84,7225.4,8.46
SIN,AMS,Airbus A350-900,10512.2,287,7.9,Mild,-6.7,-47.4,11.64,28061.4,9.87
SEA,YYZ,Boeing 757-200,3307.0,156,76.5,Severe,43.5,-44.4,3.89,14475.8,9.15
BCN,CDG,Boeing 787-9,858.3,186,12.9,Moderate,-21.9,-58.5,0.95,3778.5,9.32
DFW,LAX,Embraer ERJ-145,1983.0,31,78.1,Mild,11.7,-48.7,2.38,6981.6,5.85
SEA,FRA,Boeing 787-8,8196.6,173,25.1,Mild,-13.8,-40.7,9.08,22187.8,9.63
LAX,MAD,Airbus A350-900,9384.8,201,59.9,Severe,37.0,-45.7,10.39,35924.5,9.5
BCN,SFO,Airbus A350-900,9585.9,224,30.5,Mild,12.7,-54.4,10.62,29473.4,9.7
YYZ,ORD,Airbus A330-900,701.2,262,22.6,Mild,-0.9,-54.3,0.79,3607.5,9.47
CDG,JNB,Boeing 787-9,8736.6,206,25.0,Moderate,-17.7,-43.0,9.68,23601.4,9.72
DFW,SFO,Boeing 737-700,2352.0,99,36.3,Moderate,33.3,-47.9,2.8,9703.7,8.62
FRA,DXB,Airbus A319ceo,4844.0,106,20.3,Mild,-4.3,-54.6,5.85,13551.9,9.21
BCN,YYZ,Airbus A350-900,6417.6,254,76.1,Moderate,-16.6,-50.7,7.11,18317.6,9.8
SEA,BCN,Boeing 787-10,8729.8,227,59.5,Moderate,-31.0,-55.0,9.67,23904.4,9.77
GRU,FRA,Boeing 777-300ER,9798.1,322,8.5,Moderate,34.6,-40.6,10.83,36517.1,9.78
LAX,LHR,Airbus A330-900,8760.2,198,48.0,Severe,39.7,-42.5,9.92,34270.5,9.47
JFK,CDG,Boeing 777-300ER,5833.5,299,13.7,Severe,-48.6,-51.1,6.45,16440.2,9.87
AMS,JFK,Airbus A350-1000,5847.6,276,25.8,Mild,12.9,-50.1,6.48,18804.8,9.78
CDG,AMS,Boeing 757-200,399.0,126,61.3,Mild,14.5,-45.1,0.47,2929.3,7.98
CDG,AMS,Embraer E175,399.0,57,27.3,Severe,51.3,-42.4,0.49,2953.3,5.22
AMS,HND,Airbus A330-300,9316.3,180,19.1,Severe,-41.9,-52.4,10.7,24969.4,9.66
MAD,FRA,Airbus A330-200,1419.9,188,43.8,Severe,38.7,-57.2,1.63,7073.5,9.21
JFK,LAX,Boeing 737-700,3974.3,112,5.8,Severe,37.8,-51.4,4.74,15864.5,8.86
MAD,DFW,Boeing 767-300ER,7972.1,192,5.4,Mild,5.9,-54.2,9.37,22923.3,9.65
DFW,ORD,Bombardier CRJ-900,1290.0,65,73.4,Moderate,-17.7,-46.9,1.56,4634.4,8.1
LHR,ATL,Airbus A350-1000,6760.9,231,46.4,Severe,-44.1,-52.3,7.49,18919.0,9.76
MAD,AMS,Airbus A320ceo,1458.4,109,73.0,Severe,48.2,-42.4,1.76,7361.1,8.44
CDG,SEA,Boeing 787-9,8049.2,241,54.0,Mild,2.0,-54.1,8.91,22655.0,9.78
ORD,ATL,Boeing 737-800,975.5,122,6.9,Mild,-0.5,-58.7,1.16,3880.7,8.97
HND,FRA,Airbus A330-300,9361.1,194,74.5,Mild,-4.1,-59.1,10.75,25555.3,9.69
AMS,BCN,Bombardier CRJ-900,1241.3,66,68.5,Mild,-11.0,-50.7,1.5,4508.4,8.11
YYZ,ATL,Embraer E190,1190.9,85,42.8,Mild,8.7,-45.0,1.46,4709.4,8.43
YYZ,DFW,Boeing 737-900ER,1928.8,109,6.8,Mild,-11.7,-55.2,2.3,6242.7,9.08
SYD,HND,Airbus A330-200,7809.9,155,58.3,Moderate,31.0,-46.6,8.97,28710.1,9.32
ATL,GRU,Boeing 777-300ER,7510.6,284,28.9,Severe,47.7,-50.5,8.3,31484.3,9.66
FRA,CDG,Airbus A319ceo,448.8,115,16.3,Moderate,-16.1,-52.7,0.54,2570.0,8.31
MAD,DXB,Airbus A330-900,5649.3,239,38.4,Mild,9.5,-41.5,6.4,17669.2,9.73
AMS,LHR,Embraer ERJ-145,370.3,43,46.3,Moderate,34.6,-52.5,0.44,2628.8,3.86
AMS,MAD,Boeing 737-900ER,1458.4,156,35.7,Moderate,-20.1,-42.5,1.74,5255.5,9.34
BCN,SEA,Boeing 787-9,8729.8,262,73.3,Mild,1.5,-40.6,9.67,24441.9,9.82
MAD,ATL,Boeing 787-10,6959.9,206,64.3,Moderate,33.5,-44.7,7.71,26480.0,9.52
MAD,AMS,Airbus A350-1000,1458.4,237,12.7,Mild,-0.2,-59.4,1.62,5382.5,9.63
MAD,LHR,Airbus A319ceo,1243.2,92,54.6,Moderate,-29.2,-46.3,1.5,4611.1,8.67
BCN,HND,Boeing 787-9,10443.5,242,9.3,Severe,51.4,-41.0,11.57,43918.7,9.56
FRA,LHR,Boeing 737-800,653.5,100,9.3,Severe,52.1,-47.7,0.78,4066.3,7.83
DXB,AMS,Airbus A330-900,5168.5,250,41.5,Moderate,24.5,-41.6,5.85,18710.8,9.67
SYD,SIN,Airbus A350-900,6293.2,209,45.8,Severe,-50.8,-45.7,6.97,17680.2,9.71
MAD,GRU,Boeing 777-200ER,8379.6,184,68.0,Moderate,-29.5,-47.4,9.39,23031.0,9.65
LAX,DFW,Boeing 787-8,1983.0,205,74.3,Mild,1.0,-40.6,2.2,7135.7,9.55
ORD,YYZ,Boeing 787-10,701.2,292,19.7,Moderate,-34.2,-45.4,0.78,3634.7,9.55
CDG,ATL,Airbus A350-1000,7055.4,256,50.7,Moderate,-20.1,-45.3,7.81,19737.4,9.81
LAX,HND,Boeing 777-200ER,8812.6,272,54.8,Severe,-50.6,-51.8,9.88,24164.7,9.84
SEA,ORD,Airbus A350-1000,2761.8,306,52.9,Mild,6.2,-55.3,3.06,9628.7,9.79
YYZ,DFW,Boeing 737-900ER,1928.8,140,69.0,Mild,0.4,-51.9,2.3,6546.5,9.3
SEA,ATL,Airbus A320ceo,3504.7,135,54.9,Severe,53.8,-59.4,4.23,16017.1,8.92
SFO,HND,Airbus A380-800,8285.6,307,60.0,Mild,-1.9,-50.5,9.18,23373.7,9.88
MAD,DFW,Airbus A380-800,7972.1,406,47.6,Mild,5.0,-58.1,8.83,23766.1,9.95
YYZ,LAX,Airbus A320neo,3494.5,136,11.8,Mild,-3.7,-52.6,4.2,10217.3,9.4
SFO,LAX,Boeing 737-900ER,543.7,149,20.8,Moderate,-22.4,-56.6,0.65,2902.3,8.85
FRA,SFO,Airbus A350-1000,9147.9,265,74.2,Moderate,18.3,-52.6,10.13,30210.4,9.75
CDG,SFO,Boeing 787-10,8962.3,264,77.0,Severe,47.7,-50.4,9.93,37517.4,9.62
YYZ,CDG,Boeing 787-8,6019.5,202,43.9,Mild,-0.5,-56.5,6.67,16936.1,9.69
MAD,BCN,Airbus A380-800,483.1,406,48.9,Mild,-4.5,-55.9,0.53,3877.5,9.47
AMS,DXB,Airbus A319ceo,5168.5,82,59.3,Severe,-52.2,-41.4,6.24,14418.1,8.92
MAD,ATL,Airbus A330-900,6959.9,251,37.3,Moderate,-18.4,-43.3,7.88,19353.3,9.8
LHR,YYZ,Boeing 767-300ER,5707.2,145,6.0,Moderate,-26.3,-46.5,6.71,15772.1,9.5
ATL,SEA,Boeing 777-300ER,3504.7,219,7.9,Moderate,-23.7,-46.7,3.87,10424.6,9.71
LAX,CDG,Airbus A330-300,9102.7,224,5.3,Mild,8.8,-45.7,10.45,26809.6,9.72
ORD,LHR,Airbus A350-1000,6344.7,252,11.4,Severe,-38.6,-43.0,7.03,17613.5,9.81
LAX,BCN,Airbus A350-900,9674.6,218,9.4,Mild,-14.2,-46.4,10.71,25855.4,9.76
JFK,LAX,Boeing 737 MAX 9,3974.3,150,53.8,Severe,41.4,-53.8,4.74,16531.3,9.16
FRA,MAD,Boeing 737 MAX 9,1419.9,157,52.3,Moderate,-21.4,-57.5,1.69,5220.7,9.33
HND,FRA,Airbus A330-300,9361.1,233,34.1,Mild,3.6,-54.5,10.75,26298.3,9.77
DFW,GRU,Airbus A380-800,8244.0,423,43.9,Moderate,-26.1,-46.9,9.13,23235.9,9.97
SEA,SFO,Embraer E175,1092.9,64,17.9,Severe,39.4,-53.0,1.34,5366.1,7.27
DFW,FRA,Airbus A330-900,8257.3,257,37.1,Moderate,-18.9,-59.2,9.35,22606.5,9.82
DFW,JFK,Boeing 737-900ER,2235.0,120,50.1,Moderate,-26.4,-56.2,2.66,7184.1,9.2
BCN,SIN,Airbus A350-900,10897.7,230,78.4,Moderate,26.0,-46.7,12.07,37995.5,9.65
JFK,LHR,Boeing 787-10,5540.0,242,54.9,Mild,-0.8,-41.7,6.14,15920.2,9.77
FRA,GRU,Boeing 787-8,9798.1,198,61.6,Moderate,20.5,-44.5,10.85,32541.1,9.58
YYZ,DFW,Embraer E190,1928.8,84,28.9,Moderate,-24.2,-56.1,2.36,6219.9,8.75
SEA,DFW,Boeing 777-200ER,2667.8,196,62.7,Severe,-48.6,-43.5,2.99,8729.9,9.59
LHR,SEA,Airbus A330-900,7702.3,251,70.2,Moderate,-16.4,-41.3,8.72,21475.9,9.8
GRU,ATL,Airbus A380-800,7510.6,364,42.7,Mild,14.6,-59.7,8.32,24573.6,9.88
FRA,ORD,Airbus A380-800,6970.8,387,23.2,Severe,-53.3,-41.7,7.72,19674.2,9.95
SFO,YYZ,Airbus A319ceo,3628.0,93,62.4,Moderate,-31.1,-55.4,4.38,10594.6,9.02
DFW,AMS,Boeing 777-300ER,7900.1,274,57.4,Mild,4.0,-52.9,8.73,22876.0,9.82
CDG,AMS,Boeing 737-700,399.0,78,7.2,Mild,-2.2,-55.9,0.48,2357.2,7.31
FRA,BCN,Airbus A320neo,1093.6,103,41.4,Mild,0.1,-51.9,1.31,4249.9,8.77
SFO,ORD,Airbus A350-900,2964.0,286,54.9,Moderate,26.1,-44.7,3.28,11892.4,9.69
CDG,AMS,Boeing 777-200ER,399.0,246,39.2,Moderate,15.8,-45.4,0.45,3146.4,8.99
CDG,LHR,Embraer E175,347.0,57,32.2,Severe,-45.0,-46.7,0.42,2216.4,5.9
DFW,ORD,Airbus A321neo,1290.0,150,41.0,Severe,48.1,-54.3,1.55,6704.1,8.89
GRU,YYZ,Boeing 777-200ER,8193.5,216,70.2,Severe,45.3,-44.0,9.19,33778.3,9.49
LAX,SFO,Airbus A350-1000,543.7,248,13.6,Mild,-5.6,-56.6,0.6,3122.7,9.34
BCN,DXB,Airbus A350-1000,5175.4,251,58.0,Moderate,23.4,-53.2,5.73,18731.5,9.67
YYZ,JFK,Boeing 767-300ER,588.2,186,39.2,Moderate,17.8,-58.5,0.69,3602.1,8.96
JFK,ATL,Airbus A330-200,1221.9,157,47.1,Mild,14.0,-59.5,1.4,5413.3,9.14
ATL,JFK,Airbus A330-300,1221.9,180,31.4,Severe,54.6,-51.6,1.4,6833.3,9.03
LHR,JFK,Boeing 767-300ER,5540.0,183,6.3,Severe,46.4,-58.5,6.51,23142.6,9.35
MAD,JFK,Airbus A330-200,5760.4,167,33.0,Moderate,-30.4,-49.9,6.61,16156.7,9.58
DFW,YYZ,Boeing 767-300ER,1928.8,130,6.9,Mild,-7.0,-43.4,2.27,6305.9,9.26
CDG,GRU,Boeing 777-300ER,9404.9,243,27.2,Severe,38.8,-44.7,10.39,36326.8,9.62
SIN,JNB,Boeing 777-300ER,8656.7,276,78.5,Mild,-10.1,-53.6,9.57,24016.5,9.84
BCN,LHR,Boeing 787-10,1147.6,219,34.5,Severe,45.4,-43.5,1.27,6299.0,9.26
MAD,HND,Boeing 787-9,10766.1,192,55.9,Mild,-4.3,-53.0,11.92,28883.7,9.69
ORD,LAX,Airbus A330-300,2801.9,223,67.7,Moderate,17.6,-49.2,3.22,10630.1,9.57
JNB,BCN,Boeing 777-300ER,7967.9,335,49.1,Severe,-50.0,-49.1,8.8,22146.8,9.91
SFO,MAD,Boeing 777-300ER,9329.9,324,31.6,Mild,-10.0,-44.9,10.31,25381.0,9.91
SFO,HND,Boeing 777-200ER,8285.6,233,64.5,Severe,48.7,-59.8,9.29,34951.8,9.53
MAD,SFO,Airbus A350-1000,9329.9,304,57.4,Mild,-11.0,-41.0,10.33,25567.8,9.88
DXB,MAD,Boeing 787-10,5649.3,291,14.2,Moderate,-15.9,-53.7,6.26,15959.3,9.86
SFO,LHR,Boeing 777-300ER,8616.4,302,61.3,Moderate,-22.2,-47.5,9.52,23814.1,9.88
BCN,SIN,Airbus A380-800,10897.7,448,54.5,Severe,-43.3,-40.1,12.07,30075.1,9.99
GRU,LHR,Boeing 787-10,9460.5,276,39.3,Mild,1.2,-41.1,10.48,26013.1,9.85
CDG,SIN,Airbus A350-1000,10723.4,260,67.4,Severe,43.5,-57.9,11.88,43056.3,9.63
JFK,FRA,Boeing 787-9,6188.5,212,16.9,Moderate,23.9,-40.7,6.85,21612.6,9.6
FRA,LHR,Airbus A330-300,653.5,198,53.1,Mild,7.1,-53.1,0.75,3760.0,9.11
AMS,JNB,Boeing 777-200ER,9016.7,270,37.3,Moderate,-33.6,-44.0,10.11,24529.5,9.84
BCN,JFK,Boeing 767-300ER,6150.4,167,61.9,Mild,4.6,-44.0,7.23,18171.2,9.55
BCN,GRU,Boeing 777-300ER,8765.2,287,70.7,Moderate,31.9,-54.4,9.69,32618.3,9.73
YYZ,DFW,Airbus A350-900,1928.8,208,23.1,Moderate,32.8,-59.2,2.14,8480.2,9.42
SFO,CDG,Boeing 787-8,8962.3,201,6.8,Severe,45.6,-43.3,9.93,36279.2,9.45
DFW,BCN,Boeing 777-300ER,8342.0,319,63.0,Severe,-39.3,-50.5,9.22,23173.7,9.9
LHR,ATL,Boeing 767-300ER,6760.9,155,74.4,Severe,46.0,-46.9,7.94,28239.8,9.19
FRA,LHR,Boeing 737-900ER,653.5,110,59.7,Moderate,-30.1,-49.6,0.78,3246.7,8.49
FRA,HND,Boeing 787-9,9361.1,217,80.0,Moderate,-30.2,-48.8,10.37,25597.9,9.74
ATL,DFW,Boeing 767-300ER,1174.7,131,27.3,Moderate,-26.7,-48.9,1.38,4569.0,9.08
AMS,MAD,Boeing 737-700,1458.4,95,19.4,Mild,-7.5,-58.4,1.74,5069.5,8.82
AMS,LHR,Embraer ERJ-145,370.3,39,12.1,Moderate,-19.1,-41.2,0.44,2206.9,4.33
JNB,MAD,Boeing 777-300ER,8105.7,230,63.0,Moderate,21.0,-45.0,8.96,27537.2,9.66
JFK,SEA,Boeing 777-200ER,3886.6,260,39.1,Moderate,17.6,-47.3,4.36,13754.9,9.71
SFO,GRU,Airbus A350-900,10427.2,270,33.7,Severe,-51.5,-60.0,11.55,28026.8,9.85
DXB,AMS,Boeing 777-300ER,5168.5,307,60.7,Moderate,-26.7,-47.8,5.71,15197.8,9.86
JFK,SFO,Boeing 737 MAX 8,4152.1,130,47.3,Moderate,20.4,-54.2,4.95,14506.9,9.19
SFO,YYZ,Airbus A350-900,3628.0,203,31.1,Mild,10.4,-49.9,4.02,12015.3,9.6
DXB,SIN,Airbus A321neo,5845.5,158,56.0,Moderate,-25.0,-40.1,7.02,16299.6,9.55
BCN,FRA,Airbus A320ceo,1093.6,102,49.1,Mild,-4.7,-54.0,1.32,4259.0,8.76
AMS,DFW,Boeing 787-9,7900.1,248,46.0,Severe,51.5,-45.1,8.75,33945.5,9.56
LHR,LAX,Boeing 787-10,8760.2,214,43.4,Moderate,-19.6,-46.8,9.7,23829.7,9.74
